QUEUE STATISTICS FOR EXPERIMENT 8463
---------------------------
 -- EDGE QUEUE STATISTICS --
EDGE (0 ,0) PORT 0: Recv/Dropped : 457/5274
EDGE (0 ,0) PORT 1: Recv/Dropped : 0/74
EDGE (0 ,0) PORT 2: Recv/Dropped : 0/73
EDGE (0 ,0) PORT 3: Recv/Dropped : 0/75
EDGE (0 ,0) PORT 4: Recv/Dropped : 0/974
EDGE (0 ,0) PORT 5: Recv/Dropped : 0/1024
EDGE (0 ,0) PORT 6: Recv/Dropped : 0/922
EDGE (0 ,0) PORT 7: Recv/Dropped : 0/908
EDGE (0 ,1) PORT 0: Recv/Dropped : 0/81
EDGE (0 ,1) PORT 1: Recv/Dropped : 0/82
EDGE (0 ,1) PORT 2: Recv/Dropped : 0/2
EDGE (0 ,1) PORT 3: Recv/Dropped : 0/2
EDGE (0 ,1) PORT 4: Recv/Dropped : 0/48
EDGE (0 ,1) PORT 5: Recv/Dropped : 0/56
EDGE (0 ,1) PORT 6: Recv/Dropped : 0/49
EDGE (0 ,1) PORT 7: Recv/Dropped : 0/58
EDGE (0 ,2) PORT 0: Recv/Dropped : 0/82
EDGE (0 ,2) PORT 1: Recv/Dropped : 0/71
EDGE (0 ,2) PORT 2: Recv/Dropped : 0/76
EDGE (0 ,2) PORT 3: Recv/Dropped : 0/71
EDGE (0 ,2) PORT 4: Recv/Dropped : 0/85
EDGE (0 ,2) PORT 5: Recv/Dropped : 0/107
EDGE (0 ,2) PORT 6: Recv/Dropped : 0/105
EDGE (0 ,2) PORT 7: Recv/Dropped : 0/108
EDGE (0 ,3) PORT 0: Recv/Dropped : 0/67
EDGE (0 ,3) PORT 1: Recv/Dropped : 0/78
EDGE (0 ,3) PORT 2: Recv/Dropped : 0/73
EDGE (0 ,3) PORT 3: Recv/Dropped : 0/70
EDGE (0 ,3) PORT 4: Recv/Dropped : 0/100
EDGE (0 ,3) PORT 5: Recv/Dropped : 0/110
EDGE (0 ,3) PORT 6: Recv/Dropped : 0/100
EDGE (0 ,3) PORT 7: Recv/Dropped : 0/94
EDGE (1 ,0) PORT 0: Recv/Dropped : 0/67
EDGE (1 ,0) PORT 1: Recv/Dropped : 0/78
EDGE (1 ,0) PORT 2: Recv/Dropped : 0/2
EDGE (1 ,0) PORT 3: Recv/Dropped : 0/2
EDGE (1 ,0) PORT 4: Recv/Dropped : 0/48
EDGE (1 ,0) PORT 5: Recv/Dropped : 0/63
EDGE (1 ,0) PORT 6: Recv/Dropped : 0/44
EDGE (1 ,0) PORT 7: Recv/Dropped : 0/56
EDGE (1 ,1) PORT 0: Recv/Dropped : 0/66
EDGE (1 ,1) PORT 1: Recv/Dropped : 0/80
EDGE (1 ,1) PORT 2: Recv/Dropped : 0/75
EDGE (1 ,1) PORT 3: Recv/Dropped : 0/69
EDGE (1 ,1) PORT 4: Recv/Dropped : 0/92
EDGE (1 ,1) PORT 5: Recv/Dropped : 0/99
EDGE (1 ,1) PORT 6: Recv/Dropped : 0/107
EDGE (1 ,1) PORT 7: Recv/Dropped : 0/108
EDGE (1 ,2) PORT 0: Recv/Dropped : 0/3
EDGE (1 ,2) PORT 1: Recv/Dropped : 0/64
EDGE (1 ,2) PORT 2: Recv/Dropped : 0/4
EDGE (1 ,2) PORT 3: Recv/Dropped : 0/74
EDGE (1 ,2) PORT 4: Recv/Dropped : 0/58
EDGE (1 ,2) PORT 5: Recv/Dropped : 0/47
EDGE (1 ,2) PORT 6: Recv/Dropped : 0/53
EDGE (1 ,2) PORT 7: Recv/Dropped : 0/54
EDGE (1 ,3) PORT 0: Recv/Dropped : 0/2
EDGE (1 ,3) PORT 1: Recv/Dropped : 0/2
EDGE (1 ,3) PORT 2: Recv/Dropped : 0/2
EDGE (1 ,3) PORT 3: Recv/Dropped : 0/2
EDGE (1 ,3) PORT 4: Recv/Dropped : 0/9
EDGE (1 ,3) PORT 5: Recv/Dropped : 0/5
EDGE (1 ,3) PORT 6: Recv/Dropped : 0/3
EDGE (1 ,3) PORT 7: Recv/Dropped : 0/4
EDGE (2 ,0) PORT 0: Recv/Dropped : 0/80
EDGE (2 ,0) PORT 1: Recv/Dropped : 0/2
EDGE (2 ,0) PORT 2: Recv/Dropped : 0/70
EDGE (2 ,0) PORT 3: Recv/Dropped : 0/2
EDGE (2 ,0) PORT 4: Recv/Dropped : 0/49
EDGE (2 ,0) PORT 5: Recv/Dropped : 0/63
EDGE (2 ,0) PORT 6: Recv/Dropped : 0/46
EDGE (2 ,0) PORT 7: Recv/Dropped : 0/58
EDGE (2 ,1) PORT 0: Recv/Dropped : 0/69
EDGE (2 ,1) PORT 1: Recv/Dropped : 0/2
EDGE (2 ,1) PORT 2: Recv/Dropped : 0/69
EDGE (2 ,1) PORT 3: Recv/Dropped : 0/74
EDGE (2 ,1) PORT 4: Recv/Dropped : 0/69
EDGE (2 ,1) PORT 5: Recv/Dropped : 0/81
EDGE (2 ,1) PORT 6: Recv/Dropped : 0/76
EDGE (2 ,1) PORT 7: Recv/Dropped : 0/86
EDGE (2 ,2) PORT 0: Recv/Dropped : 0/2
EDGE (2 ,2) PORT 1: Recv/Dropped : 0/3
EDGE (2 ,2) PORT 2: Recv/Dropped : 0/4
EDGE (2 ,2) PORT 3: Recv/Dropped : 0/2
EDGE (2 ,2) PORT 4: Recv/Dropped : 0/6
EDGE (2 ,2) PORT 5: Recv/Dropped : 0/4
EDGE (2 ,2) PORT 6: Recv/Dropped : 0/6
EDGE (2 ,2) PORT 7: Recv/Dropped : 0/5
EDGE (2 ,3) PORT 0: Recv/Dropped : 0/77
EDGE (2 ,3) PORT 1: Recv/Dropped : 0/80
EDGE (2 ,3) PORT 2: Recv/Dropped : 0/2
EDGE (2 ,3) PORT 3: Recv/Dropped : 0/4
EDGE (2 ,3) PORT 4: Recv/Dropped : 0/45
EDGE (2 ,3) PORT 5: Recv/Dropped : 0/55
EDGE (2 ,3) PORT 6: Recv/Dropped : 0/44
EDGE (2 ,3) PORT 7: Recv/Dropped : 0/71
EDGE (3 ,0) PORT 0: Recv/Dropped : 0/72
EDGE (3 ,0) PORT 1: Recv/Dropped : 0/2
EDGE (3 ,0) PORT 2: Recv/Dropped : 0/2
EDGE (3 ,0) PORT 3: Recv/Dropped : 0/4
EDGE (3 ,0) PORT 4: Recv/Dropped : 0/23
EDGE (3 ,0) PORT 5: Recv/Dropped : 0/38
EDGE (3 ,0) PORT 6: Recv/Dropped : 0/31
EDGE (3 ,0) PORT 7: Recv/Dropped : 0/24
EDGE (3 ,1) PORT 0: Recv/Dropped : 0/83
EDGE (3 ,1) PORT 1: Recv/Dropped : 0/2
EDGE (3 ,1) PORT 2: Recv/Dropped : 0/2
EDGE (3 ,1) PORT 3: Recv/Dropped : 0/2
EDGE (3 ,1) PORT 4: Recv/Dropped : 0/37
EDGE (3 ,1) PORT 5: Recv/Dropped : 0/31
EDGE (3 ,1) PORT 6: Recv/Dropped : 0/28
EDGE (3 ,1) PORT 7: Recv/Dropped : 0/28
EDGE (3 ,2) PORT 0: Recv/Dropped : 0/69
EDGE (3 ,2) PORT 1: Recv/Dropped : 0/80
EDGE (3 ,2) PORT 2: Recv/Dropped : 0/2
EDGE (3 ,2) PORT 3: Recv/Dropped : 0/75
EDGE (3 ,2) PORT 4: Recv/Dropped : 0/94
EDGE (3 ,2) PORT 5: Recv/Dropped : 0/63
EDGE (3 ,2) PORT 6: Recv/Dropped : 0/85
EDGE (3 ,2) PORT 7: Recv/Dropped : 0/66
EDGE (3 ,3) PORT 0: Recv/Dropped : 0/69
EDGE (3 ,3) PORT 1: Recv/Dropped : 0/2
EDGE (3 ,3) PORT 2: Recv/Dropped : 0/0
EDGE (3 ,3) PORT 3: Recv/Dropped : 0/71
EDGE (3 ,3) PORT 4: Recv/Dropped : 0/51
EDGE (3 ,3) PORT 5: Recv/Dropped : 0/52
EDGE (3 ,3) PORT 6: Recv/Dropped : 0/58
EDGE (3 ,3) PORT 7: Recv/Dropped : 0/52
EDGE (4 ,0) PORT 0: Recv/Dropped : 0/2
EDGE (4 ,0) PORT 1: Recv/Dropped : 0/3
EDGE (4 ,0) PORT 2: Recv/Dropped : 0/74
EDGE (4 ,0) PORT 3: Recv/Dropped : 0/0
EDGE (4 ,0) PORT 4: Recv/Dropped : 0/29
