QUEUE STATISTICS FOR EXPERIMENT 3210
---------------------------
 -- EDGE QUEUE STATISTICS --
EDGE (0 ,0) PORT 0: Recv/Dropped : 557/9334
EDGE (0 ,0) PORT 1: Recv/Dropped : 0/81
EDGE (0 ,0) PORT 2: Recv/Dropped : 0/68
EDGE (0 ,0) PORT 3: Recv/Dropped : 0/64
EDGE (0 ,0) PORT 4: Recv/Dropped : 0/1708
EDGE (0 ,0) PORT 5: Recv/Dropped : 0/1834
EDGE (0 ,0) PORT 6: Recv/Dropped : 0/1715
EDGE (0 ,0) PORT 7: Recv/Dropped : 0/1703
EDGE (0 ,1) PORT 0: Recv/Dropped : 0/91
EDGE (0 ,1) PORT 1: Recv/Dropped : 0/68
EDGE (0 ,1) PORT 2: Recv/Dropped : 0/64
EDGE (0 ,1) PORT 3: Recv/Dropped : 0/66
EDGE (0 ,1) PORT 4: Recv/Dropped : 0/103
EDGE (0 ,1) PORT 5: Recv/Dropped : 0/102
EDGE (0 ,1) PORT 6: Recv/Dropped : 0/102
EDGE (0 ,1) PORT 7: Recv/Dropped : 0/100
EDGE (0 ,2) PORT 0: Recv/Dropped : 0/67
EDGE (0 ,2) PORT 1: Recv/Dropped : 0/64
EDGE (0 ,2) PORT 2: Recv/Dropped : 0/83
EDGE (0 ,2) PORT 3: Recv/Dropped : 0/64
EDGE (0 ,2) PORT 4: Recv/Dropped : 0/110
EDGE (0 ,2) PORT 5: Recv/Dropped : 0/105
EDGE (0 ,2) PORT 6: Recv/Dropped : 0/97
EDGE (0 ,2) PORT 7: Recv/Dropped : 0/84
EDGE (0 ,3) PORT 0: Recv/Dropped : 0/63
EDGE (0 ,3) PORT 1: Recv/Dropped : 0/70
EDGE (0 ,3) PORT 2: Recv/Dropped : 0/64
EDGE (0 ,3) PORT 3: Recv/Dropped : 0/2
EDGE (0 ,3) PORT 4: Recv/Dropped : 0/77
EDGE (0 ,3) PORT 5: Recv/Dropped : 0/76
EDGE (0 ,3) PORT 6: Recv/Dropped : 0/81
EDGE (0 ,3) PORT 7: Recv/Dropped : 0/65
EDGE (1 ,0) PORT 0: Recv/Dropped : 0/84
EDGE (1 ,0) PORT 1: Recv/Dropped : 0/72
EDGE (1 ,0) PORT 2: Recv/Dropped : 0/65
EDGE (1 ,0) PORT 3: Recv/Dropped : 0/65
EDGE (1 ,0) PORT 4: Recv/Dropped : 0/107
EDGE (1 ,0) PORT 5: Recv/Dropped : 0/110
EDGE (1 ,0) PORT 6: Recv/Dropped : 0/87
EDGE (1 ,0) PORT 7: Recv/Dropped : 0/102
EDGE (1 ,1) PORT 0: Recv/Dropped : 0/66
EDGE (1 ,1) PORT 1: Recv/Dropped : 0/63
EDGE (1 ,1) PORT 2: Recv/Dropped : 0/73
EDGE (1 ,1) PORT 3: Recv/Dropped : 0/66
EDGE (1 ,1) PORT 4: Recv/Dropped : 0/111
EDGE (1 ,1) PORT 5: Recv/Dropped : 0/91
EDGE (1 ,1) PORT 6: Recv/Dropped : 0/100
EDGE (1 ,1) PORT 7: Recv/Dropped : 0/97
EDGE (1 ,2) PORT 0: Recv/Dropped : 0/65
EDGE (1 ,2) PORT 1: Recv/Dropped : 0/66
EDGE (1 ,2) PORT 2: Recv/Dropped : 0/64
EDGE (1 ,2) PORT 3: Recv/Dropped : 0/75
EDGE (1 ,2) PORT 4: Recv/Dropped : 0/105
EDGE (1 ,2) PORT 5: Recv/Dropped : 0/88
EDGE (1 ,2) PORT 6: Recv/Dropped : 0/111
EDGE (1 ,2) PORT 7: Recv/Dropped : 0/91
EDGE (1 ,3) PORT 0: Recv/Dropped : 0/70
EDGE (1 ,3) PORT 1: Recv/Dropped : 0/75
EDGE (1 ,3) PORT 2: Recv/Dropped : 0/2
EDGE (1 ,3) PORT 3: Recv/Dropped : 0/74
EDGE (1 ,3) PORT 4: Recv/Dropped : 0/76
EDGE (1 ,3) PORT 5: Recv/Dropped : 0/74
EDGE (1 ,3) PORT 6: Recv/Dropped : 0/97
EDGE (1 ,3) PORT 7: Recv/Dropped : 0/58
EDGE (2 ,0) PORT 0: Recv/Dropped : 0/75
EDGE (2 ,0) PORT 1: Recv/Dropped : 0/64
EDGE (2 ,0) PORT 2: Recv/Dropped : 0/73
EDGE (2 ,0) PORT 3: Recv/Dropped : 0/76
EDGE (2 ,0) PORT 4: Recv/Dropped : 0/93
EDGE (2 ,0) PORT 5: Recv/Dropped : 0/112
EDGE (2 ,0) PORT 6: Recv/Dropped : 0/99
EDGE (2 ,0) PORT 7: Recv/Dropped : 0/98
EDGE (2 ,1) PORT 0: Recv/Dropped : 0/65
EDGE (2 ,1) PORT 1: Recv/Dropped : 0/74
EDGE (2 ,1) PORT 2: Recv/Dropped : 0/68
EDGE (2 ,1) PORT 3: Recv/Dropped : 0/90
EDGE (2 ,1) PORT 4: Recv/Dropped : 0/102
EDGE (2 ,1) PORT 5: Recv/Dropped : 0/116
EDGE (2 ,1) PORT 6: Recv/Dropped : 0/92
EDGE (2 ,1) PORT 7: Recv/Dropped : 0/93
EDGE (2 ,2) PORT 0: Recv/Dropped : 0/67
EDGE (2 ,2) PORT 1: Recv/Dropped : 0/65
EDGE (2 ,2) PORT 2: Recv/Dropped : 0/2
EDGE (2 ,2) PORT 3: Recv/Dropped : 0/87
EDGE (2 ,2) PORT 4: Recv/Dropped : 0/68
EDGE (2 ,2) PORT 5: Recv/Dropped : 0/78
EDGE (2 ,2) PORT 6: Recv/Dropped : 0/73
EDGE (2 ,2) PORT 7: Recv/Dropped : 0/84
EDGE (2 ,3) PORT 0: Recv/Dropped : 0/2
EDGE (2 ,3) PORT 1: Recv/Dropped : 0/77
EDGE (2 ,3) PORT 2: Recv/Dropped : 0/86
EDGE (2 ,3) PORT 3: Recv/Dropped : 0/3
EDGE (2 ,3) PORT 4: Recv/Dropped : 0/45
EDGE (2 ,3) PORT 5: Recv/Dropped : 0/52
EDGE (2 ,3) PORT 6: Recv/Dropped : 0/50
EDGE (2 ,3) PORT 7: Recv/Dropped : 0/62
EDGE (3 ,0) PORT 0: Recv/Dropped : 0/64
EDGE (3 ,0) PORT 1: Recv/Dropped : 0/65
EDGE (3 ,0) PORT 2: Recv/Dropped : 0/2
EDGE (3 ,0) PORT 3: Recv/Dropped : 0/2
EDGE (3 ,0) PORT 4: Recv/Dropped : 0/44
EDGE (3 ,0) PORT 5: Recv/Dropped : 0/54
EDGE (3 ,0) PORT 6: Recv/Dropped : 0/48
EDGE (3 ,0) PORT 7: Recv/Dropped : 0/59
EDGE (3 ,1) PORT 0: Recv/Dropped : 0/64
EDGE (3 ,1) PORT 1: Recv/Dropped : 0/84
EDGE (3 ,1) PORT 2: Recv/Dropped : 0/63
EDGE (3 ,1) PORT 3: Recv/Dropped : 0/75
EDGE (3 ,1) PORT 4: Recv/Dropped : 0/106
EDGE (3 ,1) PORT 5: Recv/Dropped : 0/102
EDGE (3 ,1) PORT 6: Recv/Dropped : 0/105
EDGE (3 ,1) PORT 7: Recv/Dropped : 0/87
EDGE (3 ,2) PORT 0: Recv/Dropped : 0/65
EDGE (3 ,2) PORT 1: Recv/Dropped : 0/74
EDGE (3 ,2) PORT 2: Recv/Dropped : 0/64
EDGE (3 ,2) PORT 3: Recv/Dropped : 0/2
EDGE (3 ,2) PORT 4: Recv/Dropped : 0/73
EDGE (3 ,2) PORT 5: Recv/Dropped : 0/81
EDGE (3 ,2) PORT 6: Recv/Dropped : 0/66
EDGE (3 ,2) PORT 7: Recv/Dropped : 0/80
EDGE (3 ,3) PORT 0: Recv/Dropped : 0/2
EDGE (3 ,3) PORT 1: Recv/Dropped : 0/2
EDGE (3 ,3) PORT 2: Recv/Dropped : 0/2
EDGE (3 ,3) PORT 3: Recv/Dropped : 0/85
EDGE (3 ,3) PORT 4: Recv/Dropped : 0/30
EDGE (3 ,3) PORT 5: Recv/Dropped : 0/34
EDGE (3 ,3) PORT 6: Recv/Dropped : 0/38
EDGE (3 ,3) PORT 7: Recv/Dropped : 0/22
EDGE (4 ,0) PORT 0: Recv/Dropped : 0/65
EDGE (4 ,0) PORT 1: Recv/Dropped : 0/2
EDGE (4 ,0) PORT 2: Recv/Dropped : 0/64
EDGE (4 ,0) PORT 3: Recv/Dropped : 0/2
EDGE (4 ,0) PORT 4: Recv/Dropped : 0/40
EDGE (4 ,0) PORT 5: Recv/Dropped : 0/50
EDGE (4 ,0) PORT 6: Recv/Dropped : 0/68
EDGE (4 ,0) PORT 7: Recv/Dropped : 0/52
EDGE (4 ,1) PORT 0: Recv/Dropped : 0/2
EDGE (4 ,1) PORT 1: Recv/Dropped : 0/3
EDGE (4 ,1) PORT 2: Recv/Dropped : 0/77
EDGE (4 ,1) PORT 3: Recv/Dropped : 0/75
EDGE (4 ,1) PORT 4: Recv/Dropped : 0/54
EDGE (4 ,1) PORT 5: Recv/Dropped : 0/51
EDGE (4 ,1) PORT 6: Recv/Dropped : 0/42
EDGE (4 ,1) PORT 7: Recv/Dropped : 0/61
EDGE (4 ,2) PORT 0: Recv/Dropped : 0/76
EDGE (4 ,2) PORT 1: Recv/Dropped : 0/73
EDGE (4 ,2) PORT 2: Recv/Dropped : 0/85
EDGE (4 ,2) PORT 3: Recv/Dropped : 0/75
EDGE (4 ,2) PORT 4: Recv/Dropped : 0/106
EDGE (4 ,2) PORT 5: Recv/Dropped : 0/90
EDGE (4 ,2) PORT 6: Recv/Dropped : 0/103
EDGE (4 ,2) PORT 7: Recv/Dropped : 0/108
EDGE (4 ,3) PORT 0: Recv/Dropped : 0/2
EDGE (4 ,3) PORT 1: Recv/Dropped : 0/3
EDGE (4 ,3) PORT 2: Recv/Dropped : 0/76
EDGE (4 ,3) PORT 3: Recv/Dropped : 0/2
EDGE (4 ,3) PORT 4: Recv/Dropped : 0/22
EDGE (4 ,3) PORT 5: Recv/Dropped : 0/29
EDGE (4 ,3) PORT 6: Recv/Dropped : 0/34
EDGE (4 ,3) PORT 7: Recv/Dropped : 0/33
EDGE (5 ,0) PORT 0: Recv/Dropped : 0/65
EDGE (5 ,0) PORT 1: Recv/Dropped : 0/3
EDGE (5 ,0) PORT 2: Recv/Dropped : 0/65
EDGE (5 ,0) PORT 3: Recv/Dropped : 0/83
EDGE (5 ,0) PORT 4: Recv/Dropped : 0/71
