QUEUE STATISTICS FOR EXPERIMENT 9254
---------------------------
 -- EDGE QUEUE STATISTICS --
EDGE (0 ,0) PORT 0: Recv/Dropped : 0/5058
EDGE (0 ,0) PORT 1: Recv/Dropped : 0/2421
EDGE (0 ,0) PORT 2: Recv/Dropped : 0/1580
EDGE (0 ,0) PORT 3: Recv/Dropped : 0/2528
EDGE (0 ,0) PORT 4: Recv/Dropped : 0/2593
EDGE (0 ,0) PORT 5: Recv/Dropped : 0/2664
EDGE (0 ,0) PORT 6: Recv/Dropped : 0/2557
EDGE (0 ,0) PORT 7: Recv/Dropped : 0/2523
EDGE (0 ,1) PORT 0: Recv/Dropped : 0/4292
EDGE (0 ,1) PORT 1: Recv/Dropped : 0/5071
EDGE (0 ,1) PORT 2: Recv/Dropped : 0/3867
EDGE (0 ,1) PORT 3: Recv/Dropped : 0/3755
EDGE (0 ,1) PORT 4: Recv/Dropped : 0/3234
EDGE (0 ,1) PORT 5: Recv/Dropped : 0/3194
EDGE (0 ,1) PORT 6: Recv/Dropped : 0/3216
EDGE (0 ,1) PORT 7: Recv/Dropped : 0/3087
EDGE (0 ,2) PORT 0: Recv/Dropped : 0/5125
EDGE (0 ,2) PORT 1: Recv/Dropped : 0/2177
EDGE (0 ,2) PORT 2: Recv/Dropped : 0/3429
EDGE (0 ,2) PORT 3: Recv/Dropped : 0/4418
EDGE (0 ,2) PORT 4: Recv/Dropped : 0/2666
EDGE (0 ,2) PORT 5: Recv/Dropped : 0/2820
EDGE (0 ,2) PORT 6: Recv/Dropped : 0/2732
EDGE (0 ,2) PORT 7: Recv/Dropped : 0/2705
EDGE (0 ,3) PORT 0: Recv/Dropped : 0/2469
EDGE (0 ,3) PORT 1: Recv/Dropped : 0/2160
EDGE (0 ,3) PORT 2: Recv/Dropped : 0/3638
EDGE (0 ,3) PORT 3: Recv/Dropped : 0/2858
EDGE (0 ,3) PORT 4: Recv/Dropped : 0/2665
EDGE (0 ,3) PORT 5: Recv/Dropped : 0/2683
EDGE (0 ,3) PORT 6: Recv/Dropped : 0/2702
EDGE (0 ,3) PORT 7: Recv/Dropped : 0/2664
EDGE (1 ,0) PORT 0: Recv/Dropped : 0/1371
EDGE (1 ,0) PORT 1: Recv/Dropped : 0/3540
EDGE (1 ,0) PORT 2: Recv/Dropped : 0/2440
EDGE (1 ,0) PORT 3: Recv/Dropped : 0/2737
EDGE (1 ,0) PORT 4: Recv/Dropped : 0/1998
