QUEUE STATISTICS FOR EXPERIMENT 9291
---------------------------
 -- EDGE QUEUE STATISTICS --
EDGE (0 ,0) PORT 0: Recv/Dropped : 0/5083
EDGE (0 ,0) PORT 1: Recv/Dropped : 0/2417
EDGE (0 ,0) PORT 2: Recv/Dropped : 0/1569
EDGE (0 ,0) PORT 3: Recv/Dropped : 0/2542
EDGE (0 ,0) PORT 4: Recv/Dropped : 0/2637
EDGE (0 ,0) PORT 5: Recv/Dropped : 0/2710
EDGE (0 ,0) PORT 6: Recv/Dropped : 0/2606
EDGE (0 ,0) PORT 7: Recv/Dropped : 0/2580
EDGE (0 ,1) PORT 0: Recv/Dropped : 0/4340
EDGE (0 ,1) PORT 1: Recv/Dropped : 0/5133
EDGE (0 ,1) PORT 2: Recv/Dropped : 0/3953
EDGE (0 ,1) PORT 3: Recv/Dropped : 0/3780
EDGE (0 ,1) PORT 4: Recv/Dropped : 0/3335
EDGE (0 ,1) PORT 5: Recv/Dropped : 0/3283
EDGE (0 ,1) PORT 6: Recv/Dropped : 0/3316
EDGE (0 ,1) PORT 7: Recv/Dropped : 0/3193
EDGE (0 ,2) PORT 0: Recv/Dropped : 0/5244
EDGE (0 ,2) PORT 1: Recv/Dropped : 0/2193
EDGE (0 ,2) PORT 2: Recv/Dropped : 0/3412
EDGE (0 ,2) PORT 3: Recv/Dropped : 0/4451
EDGE (0 ,2) PORT 4: Recv/Dropped : 0/2708
EDGE (0 ,2) PORT 5: Recv/Dropped : 0/2861
EDGE (0 ,2) PORT 6: Recv/Dropped : 0/2780
EDGE (0 ,2) PORT 7: Recv/Dropped : 0/2748
EDGE (0 ,3) PORT 0: Recv/Dropped : 0/2491
EDGE (0 ,3) PORT 1: Recv/Dropped : 0/2310
EDGE (0 ,3) PORT 2: Recv/Dropped : 0/3704
EDGE (0 ,3) PORT 3: Recv/Dropped : 0/3012
EDGE (0 ,3) PORT 4: Recv/Dropped : 0/2682
EDGE (0 ,3) PORT 5: Recv/Dropped : 0/2701
EDGE (0 ,3) PORT 6: Recv/Dropped : 0/2721
EDGE (0 ,3) PORT 7: Recv/Dropped : 0/2682
EDGE (1 ,0) PORT 0: Recv/Dropped : 0/1366
EDGE (1 ,0) PORT 1: Recv/Dropped : 0/3594
EDGE (1 ,0) PORT 2: Recv/Dropped : 0/2421
EDGE (1 ,0) PORT 3: Recv/Dropped : 0/2737
EDGE (1 ,0) PORT 4: Recv/Dropped : 0/2016
EDGE (1 ,0) PORT 5: Recv/Dropped : 0/2024
EDGE (1 ,0) PORT 6: Recv/Dropped : 0/2013
EDGE (1 ,0) PORT 7: Recv/Dropped : 0/2050
EDGE (1 ,1) PORT 0: Recv/Dropped : 0/2589
EDGE (1 ,1) PORT 1: Recv/Dropped : 0/1374
EDGE (1 ,1) PORT 2: Recv/Dropped : 0/2941
EDGE (1 ,1) PORT 3: Recv/Dropped : 0/1997
EDGE (1 ,1) PORT 4: Recv/Dropped : 0/1893
EDGE (1 ,1) PORT 5: Recv/Dropped : 0/2022
EDGE (1 ,1) PORT 6: Recv/Dropped : 0/1827
EDGE (1 ,1) PORT 7: Recv/Dropped : 0/1911
EDGE (1 ,2) PORT 0: Recv/Dropped : 0/2730
EDGE (1 ,2) PORT 1: Recv/Dropped : 0/3575
EDGE (1 ,2) PORT 2: Recv/Dropped : 0/2645
EDGE (1 ,2) PORT 3: Recv/Dropped : 0/1875
EDGE (1 ,2) PORT 4: Recv/Dropped : 0/2478
EDGE (1 ,2) PORT 5: Recv/Dropped : 0/2430
EDGE (1 ,2) PORT 6: Recv/Dropped : 0/2488
EDGE (1 ,2) PORT 7: Recv/Dropped : 0/2528
EDGE (1 ,3) PORT 0: Recv/Dropped : 0/2925
EDGE (1 ,3) PORT 1: Recv/Dropped : 0/2377
EDGE (1 ,3) PORT 2: Recv/Dropped : 0/2584
EDGE (1 ,3) PORT 3: Recv/Dropped : 0/3927
EDGE (1 ,3) PORT 4: Recv/Dropped : 0/2445
EDGE (1 ,3) PORT 5: Recv/Dropped : 0/2425
EDGE (1 ,3) PORT 6: Recv/Dropped : 0/2386
EDGE (1 ,3) PORT 7: Recv/Dropped : 0/2482
EDGE (2 ,0) PORT 0: Recv/Dropped : 0/2071
EDGE (2 ,0) PORT 1: Recv/Dropped : 0/2745
EDGE (2 ,0) PORT 2: Recv/Dropped : 0/2301
EDGE (2 ,0) PORT 3: Recv/Dropped : 0/2123
EDGE (2 ,0) PORT 4: Recv/Dropped : 0/1784
EDGE (2 ,0) PORT 5: Recv/Dropped : 0/1749
EDGE (2 ,0) PORT 6: Recv/Dropped : 0/1864
EDGE (2 ,0) PORT 7: Recv/Dropped : 0/1799
EDGE (2 ,1) PORT 0: Recv/Dropped : 0/2060
EDGE (2 ,1) PORT 1: Recv/Dropped : 0/2516
EDGE (2 ,1) PORT 2: Recv/Dropped : 0/1677
EDGE (2 ,1) PORT 3: Recv/Dropped : 0/3424
EDGE (2 ,1) PORT 4: Recv/Dropped : 0/2324
EDGE (2 ,1) PORT 5: Recv/Dropped : 0/2267
EDGE (2 ,1) PORT 6: Recv/Dropped : 0/2302
EDGE (2 ,1) PORT 7: Recv/Dropped : 0/2250
EDGE (2 ,2) PORT 0: Recv/Dropped : 0/2874
EDGE (2 ,2) PORT 1: Recv/Dropped : 0/3585
EDGE (2 ,2) PORT 2: Recv/Dropped : 0/2168
EDGE (2 ,2) PORT 3: Recv/Dropped : 0/2346
EDGE (2 ,2) PORT 4: Recv/Dropped : 0/2149
EDGE (2 ,2) PORT 5: Recv/Dropped : 0/2257
EDGE (2 ,2) PORT 6: Recv/Dropped : 0/2137
EDGE (2 ,2) PORT 7: Recv/Dropped : 0/2167
EDGE (2 ,3) PORT 0: Recv/Dropped : 0/2294
EDGE (2 ,3) PORT 1: Recv/Dropped : 0/4974
EDGE (2 ,3) PORT 2: Recv/Dropped : 0/2806
EDGE (2 ,3) PORT 3: Recv/Dropped : 0/2822
EDGE (2 ,3) PORT 4: Recv/Dropped : 0/2221
EDGE (2 ,3) PORT 5: Recv/Dropped : 0/2200
EDGE (2 ,3) PORT 6: Recv/Dropped : 0/2216
EDGE (2 ,3) PORT 7: Recv/Dropped : 0/2156
EDGE (3 ,0) PORT 0: Recv/Dropped : 0/2292
EDGE (3 ,0) PORT 1: Recv/Dropped : 0/2738
EDGE (3 ,0) PORT 2: Recv/Dropped : 0/1779
EDGE (3 ,0) PORT 3: Recv/Dropped : 0/3758
EDGE (3 ,0) PORT 4: Recv/Dropped : 0/2261
EDGE (3 ,0) PORT 5: Recv/Dropped : 0/2217
EDGE (3 ,0) PORT 6: Recv/Dropped : 0/2301
EDGE (3 ,0) PORT 7: Recv/Dropped : 0/2177
EDGE (3 ,1) PORT 0: Recv/Dropped : 0/1856
EDGE (3 ,1) PORT 1: Recv/Dropped : 0/3067
EDGE (3 ,1) PORT 2: Recv/Dropped : 0/2085
EDGE (3 ,1) PORT 3: Recv/Dropped : 0/2500
EDGE (3 ,1) PORT 4: Recv/Dropped : 0/1573
EDGE (3 ,1) PORT 5: Recv/Dropped : 0/1523
EDGE (3 ,1) PORT 6: Recv/Dropped : 0/1599
EDGE (3 ,1) PORT 7: Recv/Dropped : 0/1603
EDGE (3 ,2) PORT 0: Recv/Dropped : 0/3807
EDGE (3 ,2) PORT 1: Recv/Dropped : 0/1950
EDGE (3 ,2) PORT 2: Recv/Dropped : 0/4414
EDGE (3 ,2) PORT 3: Recv/Dropped : 0/2358
EDGE (3 ,2) PORT 4: Recv/Dropped : 0/2473
EDGE (3 ,2) PORT 5: Recv/Dropped : 0/2465
EDGE (3 ,2) PORT 6: Recv/Dropped : 0/2398
EDGE (3 ,2) PORT 7: Recv/Dropped : 0/2478
EDGE (3 ,3) PORT 0: Recv/Dropped : 0/3482
EDGE (3 ,3) PORT 1: Recv/Dropped : 0/2912
EDGE (3 ,3) PORT 2: Recv/Dropped : 0/2366
EDGE (3 ,3) PORT 3: Recv/Dropped : 0/2863
EDGE (3 ,3) PORT 4: Recv/Dropped : 0/2434
EDGE (3 ,3) PORT 5: Recv/Dropped : 0/2442
EDGE (3 ,3) PORT 6: Recv/Dropped : 0/2440
EDGE (3 ,3) PORT 7: Recv/Dropped : 0/2430
EDGE (4 ,0) PORT 0: Recv/Dropped : 0/3745
EDGE (4 ,0) PORT 1: Recv/Dropped : 0/2004
EDGE (4 ,0) PORT 2: Recv/Dropped : 0/2549
EDGE (4 ,0) PORT 3: Recv/Dropped : 0/2394
EDGE (4 ,0) PORT 4: Recv/Dropped : 0/2500
EDGE (4 ,0) PORT 5: Recv/Dropped : 0/2419
EDGE (4 ,0) PORT 6: Recv/Dropped : 0/2467
EDGE (4 ,0) PORT 7: Recv/Dropped : 0/2444
EDGE (4 ,1) PORT 0: Recv/Dropped : 0/2207
EDGE (4 ,1) PORT 1: Recv/Dropped : 0/2815
EDGE (4 ,1) PORT 2: Recv/Dropped : 0/2114
EDGE (4 ,1) PORT 3: Recv/Dropped : 0/2412
EDGE (4 ,1) PORT 4: Recv/Dropped : 0/2240
EDGE (4 ,1) PORT 5: Recv/Dropped : 0/2270
EDGE (4 ,1) PORT 6: Recv/Dropped : 0/2245
EDGE (4 ,1) PORT 7: Recv/Dropped : 0/2202
EDGE (4 ,2) PORT 0: Recv/Dropped : 0/3192
EDGE (4 ,2) PORT 1: Recv/Dropped : 0/1944
EDGE (4 ,2) PORT 2: Recv/Dropped : 0/2711
EDGE (4 ,2) PORT 3: Recv/Dropped : 0/1661
EDGE (4 ,2) PORT 4: Recv/Dropped : 0/2369
EDGE (4 ,2) PORT 5: Recv/Dropped : 0/2458
EDGE (4 ,2) PORT 6: Recv/Dropped : 0/2296
EDGE (4 ,2) PORT 7: Recv/Dropped : 0/2411
EDGE (4 ,3) PORT 0: Recv/Dropped : 0/2754
EDGE (4 ,3) PORT 1: Recv/Dropped : 0/3052
EDGE (4 ,3) PORT 2: Recv/Dropped : 0/3518
EDGE (4 ,3) PORT 3: Recv/Dropped : 0/3553
EDGE (4 ,3) PORT 4: Recv/Dropped : 0/2862
EDGE (4 ,3) PORT 5: Recv/Dropped : 0/2749
EDGE (4 ,3) PORT 6: Recv/Dropped : 0/2884
EDGE (4 ,3) PORT 7: Recv/Dropped : 0/2799
EDGE (5 ,0) PORT 0: Recv/Dropped : 0/1530
EDGE (5 ,0) PORT 1: Recv/Dropped : 0/3711
EDGE (5 ,0) PORT 2: Recv/Dropped : 0/2970
EDGE (5 ,0) PORT 3: Recv/Dropped : 0/3894
EDGE (5 ,0) PORT 4: Recv/Dropped : 0/2800
EDGE (5 ,0) PORT 5: Recv/Dropped : 0/2719
EDGE (5 ,0) PORT 6: Recv/Dropped : 0/2751
EDGE (5 ,0) PORT 7: Recv/Dropped : 0/2704
EDGE (5 ,1) PORT 0: Recv/Dropped : 0/2794
EDGE (5 ,1) PORT 1: Recv/Dropped : 0/3790
EDGE (5 ,1) PORT 2: Recv/Dropped : 0/2677
EDGE (5 ,1) PORT 3: Recv/Dropped : 0/3774
EDGE (5 ,1) PORT 4: Recv/Dropped : 0/2282
EDGE (5 ,1) PORT 5: Recv/Dropped : 0/2288
EDGE (5 ,1) PORT 6: Recv/Dropped : 0/2325
EDGE (5 ,1) PORT 7: Recv/Dropped : 0/2168
EDGE (5 ,2) PORT 0: Recv/Dropped : 0/2952
EDGE (5 ,2) PORT 1: Recv/Dropped : 0/2710
EDGE (5 ,2) PORT 2: Recv/Dropped : 0/2646
EDGE (5 ,2) PORT 3: Recv/Dropped : 0/1930
EDGE (5 ,2) PORT 4: Recv/Dropped : 0/1985
EDGE (5 ,2) PORT 5: Recv/Dropped : 0/1814
EDGE (5 ,2) PORT 6: Recv/Dropped : 0/1903
EDGE (5 ,2) PORT 7: Recv/Dropped : 0/1933
EDGE (5 ,3) PORT 0: Recv/Dropped : 0/3424
EDGE (5 ,3) PORT 1: Recv/Dropped : 0/1732
EDGE (5 ,3) PORT 2: Recv/Dropped : 0/2986
EDGE (5 ,3) PORT 3: Recv/Dropped : 0/2307
EDGE (5 ,3) PORT 4: Recv/Dropped : 0/2077
EDGE (5 ,3) PORT 5: Recv/Dropped : 0/1994
EDGE (5 ,3) PORT 6: Recv/Dropped : 0/2120
EDGE (5 ,3) PORT 7: Recv/Dropped : 0/2096
EDGE (6 ,0) PORT 0: Recv/Dropped : 0/2000
EDGE (6 ,0) PORT 1: Recv/Dropped : 0/2983
EDGE (6 ,0) PORT 2: Recv/Dropped : 0/3148
EDGE (6 ,0) PORT 3: Recv/Dropped : 0/2224
EDGE (6 ,0) PORT 4: Recv/Dropped : 0/2097
EDGE (6 ,0) PORT 5: Recv/Dropped : 0/2161
EDGE (6 ,0) PORT 6: Recv/Dropped : 0/2109
EDGE (6 ,0) PORT 7: Recv/Dropped : 0/2179
EDGE (6 ,1) PORT 0: Recv/Dropped : 0/3677
EDGE (6 ,1) PORT 1: Recv/Dropped : 0/2914
EDGE (6 ,1) PORT 2: Recv/Dropped : 0/2760
EDGE (6 ,1) PORT 3: Recv/Dropped : 0/3252
EDGE (6 ,1) PORT 4: Recv/Dropped : 0/2016
EDGE (6 ,1) PORT 5: Recv/Dropped : 0/1938
EDGE (6 ,1) PORT 6: Recv/Dropped : 0/1986
EDGE (6 ,1) PORT 7: Recv/Dropped : 0/1952
EDGE (6 ,2) PORT 0: Recv/Dropped : 0/5265
EDGE (6 ,2) PORT 1: Recv/Dropped : 0/3257
EDGE (6 ,2) PORT 2: Recv/Dropped : 0/2036
EDGE (6 ,2) PORT 3: Recv/Dropped : 0/2298
EDGE (6 ,2) PORT 4: Recv/Dropped : 0/2773
EDGE (6 ,2) PORT 5: Recv/Dropped : 0/2810
EDGE (6 ,2) PORT 6: Recv/Dropped : 0/2850
EDGE (6 ,2) PORT 7: Recv/Dropped : 0/2798
