QUEUE STATISTICS FOR EXPERIMENT 9289
---------------------------
 -- EDGE QUEUE STATISTICS --
EDGE (0 ,0) PORT 0: Recv/Dropped : 0/5076
EDGE (0 ,0) PORT 1: Recv/Dropped : 0/2408
EDGE (0 ,0) PORT 2: Recv/Dropped : 0/1566
EDGE (0 ,0) PORT 3: Recv/Dropped : 0/2546
EDGE (0 ,0) PORT 4: Recv/Dropped : 0/2635
EDGE (0 ,0) PORT 5: Recv/Dropped : 0/2710
EDGE (0 ,0) PORT 6: Recv/Dropped : 0/2598
EDGE (0 ,0) PORT 7: Recv/Dropped : 0/2577
EDGE (0 ,1) PORT 0: Recv/Dropped : 0/4341
EDGE (0 ,1) PORT 1: Recv/Dropped : 0/5106
EDGE (0 ,1) PORT 2: Recv/Dropped : 0/3951
EDGE (0 ,1) PORT 3: Recv/Dropped : 0/3776
EDGE (0 ,1) PORT 4: Recv/Dropped : 0/3323
EDGE (0 ,1) PORT 5: Recv/Dropped : 0/3275
EDGE (0 ,1) PORT 6: Recv/Dropped : 0/3309
EDGE (0 ,1) PORT 7: Recv/Dropped : 0/3179
EDGE (0 ,2) PORT 0: Recv/Dropped : 0/5224
EDGE (0 ,2) PORT 1: Recv/Dropped : 0/2194
EDGE (0 ,2) PORT 2: Recv/Dropped : 0/3409
EDGE (0 ,2) PORT 3: Recv/Dropped : 0/4448
EDGE (0 ,2) PORT 4: Recv/Dropped : 0/2701
EDGE (0 ,2) PORT 5: Recv/Dropped : 0/2852
EDGE (0 ,2) PORT 6: Recv/Dropped : 0/2772
EDGE (0 ,2) PORT 7: Recv/Dropped : 0/2737
EDGE (0 ,3) PORT 0: Recv/Dropped : 0/2487
EDGE (0 ,3) PORT 1: Recv/Dropped : 0/2309
EDGE (0 ,3) PORT 2: Recv/Dropped : 0/3678
EDGE (0 ,3) PORT 3: Recv/Dropped : 0/3004
EDGE (0 ,3) PORT 4: Recv/Dropped : 0/2678
EDGE (0 ,3) PORT 5: Recv/Dropped : 0/2697
EDGE (0 ,3) PORT 6: Recv/Dropped : 0/2713
EDGE (0 ,3) PORT 7: Recv/Dropped : 0/2677
EDGE (1 ,0) PORT 0: Recv/Dropped : 0/1367
EDGE (1 ,0) PORT 1: Recv/Dropped : 0/3563
EDGE (1 ,0) PORT 2: Recv/Dropped : 0/2422
EDGE (1 ,0) PORT 3: Recv/Dropped : 0/2700
EDGE (1 ,0) PORT 4: Recv/Dropped : 0/2004
EDGE (1 ,0) PORT 5: Recv/Dropped : 0/2014
EDGE (1 ,0) PORT 6: Recv/Dropped : 0/1996
EDGE (1 ,0) PORT 7: Recv/Dropped : 0/2025
EDGE (1 ,1) PORT 0: Recv/Dropped : 0/2538
EDGE (1 ,1) PORT 1: Recv/Dropped : 0/1375
EDGE (1 ,1) PORT 2: Recv/Dropped : 0/2944
EDGE (1 ,1) PORT 3: Recv/Dropped : 0/1998
EDGE (1 ,1) PORT 4: Recv/Dropped : 0/1884
EDGE (1 ,1) PORT 5: Recv/Dropped : 0/2014
EDGE (1 ,1) PORT 6: Recv/Dropped : 0/1817
EDGE (1 ,1) PORT 7: Recv/Dropped : 0/1904
EDGE (1 ,2) PORT 0: Recv/Dropped : 0/2705
EDGE (1 ,2) PORT 1: Recv/Dropped : 0/3570
EDGE (1 ,2) PORT 2: Recv/Dropped : 0/2635
EDGE (1 ,2) PORT 3: Recv/Dropped : 0/1876
EDGE (1 ,2) PORT 4: Recv/Dropped : 0/2474
EDGE (1 ,2) PORT 5: Recv/Dropped : 0/2423
EDGE (1 ,2) PORT 6: Recv/Dropped : 0/2477
EDGE (1 ,2) PORT 7: Recv/Dropped : 0/2522
EDGE (1 ,3) PORT 0: Recv/Dropped : 0/2931
EDGE (1 ,3) PORT 1: Recv/Dropped : 0/2378
EDGE (1 ,3) PORT 2: Recv/Dropped : 0/2561
EDGE (1 ,3) PORT 3: Recv/Dropped : 0/3926
EDGE (1 ,3) PORT 4: Recv/Dropped : 0/2436
EDGE (1 ,3) PORT 5: Recv/Dropped : 0/2420
EDGE (1 ,3) PORT 6: Recv/Dropped : 0/2376
EDGE (1 ,3) PORT 7: Recv/Dropped : 0/2470
EDGE (2 ,0) PORT 0: Recv/Dropped : 0/2072
EDGE (2 ,0) PORT 1: Recv/Dropped : 0/2728
EDGE (2 ,0) PORT 2: Recv/Dropped : 0/2297
EDGE (2 ,0) PORT 3: Recv/Dropped : 0/2121
EDGE (2 ,0) PORT 4: Recv/Dropped : 0/1782
EDGE (2 ,0) PORT 5: Recv/Dropped : 0/1748
