QUEUE STATISTICS FOR EXPERIMENT 9257
---------------------------
 -- EDGE QUEUE STATISTICS --
EDGE (0 ,0) PORT 0: Recv/Dropped : 0/5029
EDGE (0 ,0) PORT 1: Recv/Dropped : 0/2383
EDGE (0 ,0) PORT 2: Recv/Dropped : 0/1540
EDGE (0 ,0) PORT 3: Recv/Dropped : 0/2521
EDGE (0 ,0) PORT 4: Recv/Dropped : 0/2828
EDGE (0 ,0) PORT 5: Recv/Dropped : 0/2917
EDGE (0 ,0) PORT 6: Recv/Dropped : 0/2236
EDGE (0 ,0) PORT 7: Recv/Dropped : 0/2414
EDGE (0 ,1) PORT 0: Recv/Dropped : 0/4292
EDGE (0 ,1) PORT 1: Recv/Dropped : 0/5062
EDGE (0 ,1) PORT 2: Recv/Dropped : 0/3911
EDGE (0 ,1) PORT 3: Recv/Dropped : 0/3737
EDGE (0 ,1) PORT 4: Recv/Dropped : 0/3176
EDGE (0 ,1) PORT 5: Recv/Dropped : 0/2806
EDGE (0 ,1) PORT 6: Recv/Dropped : 0/4437
EDGE (0 ,1) PORT 7: Recv/Dropped : 0/2459
EDGE (0 ,2) PORT 0: Recv/Dropped : 0/5188
EDGE (0 ,2) PORT 1: Recv/Dropped : 0/2167
EDGE (0 ,2) PORT 2: Recv/Dropped : 0/3377
EDGE (0 ,2) PORT 3: Recv/Dropped : 0/4379
EDGE (0 ,2) PORT 4: Recv/Dropped : 0/2748
EDGE (0 ,2) PORT 5: Recv/Dropped : 0/1885
EDGE (0 ,2) PORT 6: Recv/Dropped : 0/3866
EDGE (0 ,2) PORT 7: Recv/Dropped : 0/2409
EDGE (0 ,3) PORT 0: Recv/Dropped : 0/2463
EDGE (0 ,3) PORT 1: Recv/Dropped : 0/2289
EDGE (0 ,3) PORT 2: Recv/Dropped : 0/3649
EDGE (0 ,3) PORT 3: Recv/Dropped : 0/2972
EDGE (0 ,3) PORT 4: Recv/Dropped : 0/2940
EDGE (0 ,3) PORT 5: Recv/Dropped : 0/2798
EDGE (0 ,3) PORT 6: Recv/Dropped : 0/3304
EDGE (0 ,3) PORT 7: Recv/Dropped : 0/1625
