QUEUE STATISTICS FOR EXPERIMENT 9269
---------------------------
 -- EDGE QUEUE STATISTICS --
EDGE (0 ,0) PORT 0: Recv/Dropped : 0/5121
EDGE (0 ,0) PORT 1: Recv/Dropped : 0/2411
EDGE (0 ,0) PORT 2: Recv/Dropped : 0/1571
EDGE (0 ,0) PORT 3: Recv/Dropped : 0/2564
EDGE (0 ,0) PORT 4: Recv/Dropped : 0/2645
EDGE (0 ,0) PORT 5: Recv/Dropped : 0/2717
EDGE (0 ,0) PORT 6: Recv/Dropped : 0/2615
EDGE (0 ,0) PORT 7: Recv/Dropped : 0/2586
EDGE (0 ,1) PORT 0: Recv/Dropped : 0/4348
EDGE (0 ,1) PORT 1: Recv/Dropped : 0/5140
EDGE (0 ,1) PORT 2: Recv/Dropped : 0/3948
EDGE (0 ,1) PORT 3: Recv/Dropped : 0/3781
EDGE (0 ,1) PORT 4: Recv/Dropped : 0/3346
EDGE (0 ,1) PORT 5: Recv/Dropped : 0/3292
EDGE (0 ,1) PORT 6: Recv/Dropped : 0/3328
EDGE (0 ,1) PORT 7: Recv/Dropped : 0/3209
EDGE (0 ,2) PORT 0: Recv/Dropped : 0/5286
EDGE (0 ,2) PORT 1: Recv/Dropped : 0/2211
EDGE (0 ,2) PORT 2: Recv/Dropped : 0/3421
EDGE (0 ,2) PORT 3: Recv/Dropped : 0/4455
EDGE (0 ,2) PORT 4: Recv/Dropped : 0/2716
EDGE (0 ,2) PORT 5: Recv/Dropped : 0/2880
EDGE (0 ,2) PORT 6: Recv/Dropped : 0/2795
EDGE (0 ,2) PORT 7: Recv/Dropped : 0/2760
EDGE (0 ,3) PORT 0: Recv/Dropped : 0/2479
EDGE (0 ,3) PORT 1: Recv/Dropped : 0/2294
EDGE (0 ,3) PORT 2: Recv/Dropped : 0/3702
EDGE (0 ,3) PORT 3: Recv/Dropped : 0/3006
EDGE (0 ,3) PORT 4: Recv/Dropped : 0/2694
EDGE (0 ,3) PORT 5: Recv/Dropped : 0/2713
EDGE (0 ,3) PORT 6: Recv/Dropped : 0/2737
EDGE (0 ,3) PORT 7: Recv/Dropped : 0/2694
EDGE (1 ,0) PORT 0: Recv/Dropped : 0/1367
EDGE (1 ,0) PORT 1: Recv/Dropped : 0/3650
EDGE (1 ,0) PORT 2: Recv/Dropped : 0/2432
EDGE (1 ,0) PORT 3: Recv/Dropped : 0/2727
EDGE (1 ,0) PORT 4: Recv/Dropped : 0/2016
EDGE (1 ,0) PORT 5: Recv/Dropped : 0/2024
EDGE (1 ,0) PORT 6: Recv/Dropped : 0/2013
EDGE (1 ,0) PORT 7: Recv/Dropped : 0/2048
EDGE (1 ,1) PORT 0: Recv/Dropped : 0/2574
EDGE (1 ,1) PORT 1: Recv/Dropped : 0/1395
EDGE (1 ,1) PORT 2: Recv/Dropped : 0/2963
EDGE (1 ,1) PORT 3: Recv/Dropped : 0/1991
EDGE (1 ,1) PORT 4: Recv/Dropped : 0/1880
EDGE (1 ,1) PORT 5: Recv/Dropped : 0/2010
EDGE (1 ,1) PORT 6: Recv/Dropped : 0/1810
EDGE (1 ,1) PORT 7: Recv/Dropped : 0/1895
EDGE (1 ,2) PORT 0: Recv/Dropped : 0/2711
EDGE (1 ,2) PORT 1: Recv/Dropped : 0/3632
EDGE (1 ,2) PORT 2: Recv/Dropped : 0/2681
EDGE (1 ,2) PORT 3: Recv/Dropped : 0/1875
EDGE (1 ,2) PORT 4: Recv/Dropped : 0/2514
EDGE (1 ,2) PORT 5: Recv/Dropped : 0/2460
EDGE (1 ,2) PORT 6: Recv/Dropped : 0/2511
EDGE (1 ,2) PORT 7: Recv/Dropped : 0/2559
EDGE (1 ,3) PORT 0: Recv/Dropped : 0/2946
EDGE (1 ,3) PORT 1: Recv/Dropped : 0/2427
EDGE (1 ,3) PORT 2: Recv/Dropped : 0/2589
EDGE (1 ,3) PORT 3: Recv/Dropped : 0/3941
EDGE (1 ,3) PORT 4: Recv/Dropped : 0/2472
EDGE (1 ,3) PORT 5: Recv/Dropped : 0/2453
EDGE (1 ,3) PORT 6: Recv/Dropped : 0/2420
EDGE (1 ,3) PORT 7: Recv/Dropped : 0/2522
EDGE (2 ,0) PORT 0: Recv/Dropped : 0/2086
EDGE (2 ,0) PORT 1: Recv/Dropped : 0/2737
EDGE (2 ,0) PORT 2: Recv/Dropped : 0/2285
EDGE (2 ,0) PORT 3: Recv/Dropped : 0/2102
EDGE (2 ,0) PORT 4: Recv/Dropped : 0/1796
EDGE (2 ,0) PORT 5: Recv/Dropped : 0/1758
EDGE (2 ,0) PORT 6: Recv/Dropped : 0/1874
EDGE (2 ,0) PORT 7: Recv/Dropped : 0/1811
EDGE (2 ,1) PORT 0: Recv/Dropped : 0/2060
EDGE (2 ,1) PORT 1: Recv/Dropped : 0/2526
EDGE (2 ,1) PORT 2: Recv/Dropped : 0/1678
EDGE (2 ,1) PORT 3: Recv/Dropped : 0/3449
EDGE (2 ,1) PORT 4: Recv/Dropped : 0/2331
EDGE (2 ,1) PORT 5: Recv/Dropped : 0/2273
EDGE (2 ,1) PORT 6: Recv/Dropped : 0/2308
EDGE (2 ,1) PORT 7: Recv/Dropped : 0/2255
EDGE (2 ,2) PORT 0: Recv/Dropped : 0/2894
EDGE (2 ,2) PORT 1: Recv/Dropped : 0/3587
EDGE (2 ,2) PORT 2: Recv/Dropped : 0/2171
EDGE (2 ,2) PORT 3: Recv/Dropped : 0/2290
EDGE (2 ,2) PORT 4: Recv/Dropped : 0/2149
EDGE (2 ,2) PORT 5: Recv/Dropped : 0/2257
EDGE (2 ,2) PORT 6: Recv/Dropped : 0/2137
EDGE (2 ,2) PORT 7: Recv/Dropped : 0/2166
EDGE (2 ,3) PORT 0: Recv/Dropped : 0/2316
EDGE (2 ,3) PORT 1: Recv/Dropped : 0/5026
EDGE (2 ,3) PORT 2: Recv/Dropped : 0/2798
EDGE (2 ,3) PORT 3: Recv/Dropped : 0/2839
EDGE (2 ,3) PORT 4: Recv/Dropped : 0/2230
EDGE (2 ,3) PORT 5: Recv/Dropped : 0/2211
EDGE (2 ,3) PORT 6: Recv/Dropped : 0/2232
EDGE (2 ,3) PORT 7: Recv/Dropped : 0/2169
EDGE (3 ,0) PORT 0: Recv/Dropped : 0/2291
EDGE (3 ,0) PORT 1: Recv/Dropped : 0/2761
EDGE (3 ,0) PORT 2: Recv/Dropped : 0/1777
EDGE (3 ,0) PORT 3: Recv/Dropped : 0/3792
EDGE (3 ,0) PORT 4: Recv/Dropped : 0/2269
EDGE (3 ,0) PORT 5: Recv/Dropped : 0/2223
EDGE (3 ,0) PORT 6: Recv/Dropped : 0/2309
EDGE (3 ,0) PORT 7: Recv/Dropped : 0/2183
EDGE (3 ,1) PORT 0: Recv/Dropped : 0/1845
EDGE (3 ,1) PORT 1: Recv/Dropped : 0/3073
EDGE (3 ,1) PORT 2: Recv/Dropped : 0/2096
EDGE (3 ,1) PORT 3: Recv/Dropped : 0/2521
EDGE (3 ,1) PORT 4: Recv/Dropped : 0/1582
EDGE (3 ,1) PORT 5: Recv/Dropped : 0/1535
EDGE (3 ,1) PORT 6: Recv/Dropped : 0/1606
EDGE (3 ,1) PORT 7: Recv/Dropped : 0/1615
EDGE (3 ,2) PORT 0: Recv/Dropped : 0/3827
EDGE (3 ,2) PORT 1: Recv/Dropped : 0/1955
EDGE (3 ,2) PORT 2: Recv/Dropped : 0/4401
EDGE (3 ,2) PORT 3: Recv/Dropped : 0/2377
EDGE (3 ,2) PORT 4: Recv/Dropped : 0/2490
EDGE (3 ,2) PORT 5: Recv/Dropped : 0/2488
EDGE (3 ,2) PORT 6: Recv/Dropped : 0/2416
EDGE (3 ,2) PORT 7: Recv/Dropped : 0/2500
EDGE (3 ,3) PORT 0: Recv/Dropped : 0/3499
EDGE (3 ,3) PORT 1: Recv/Dropped : 0/2930
EDGE (3 ,3) PORT 2: Recv/Dropped : 0/2373
EDGE (3 ,3) PORT 3: Recv/Dropped : 0/2849
EDGE (3 ,3) PORT 4: Recv/Dropped : 0/2438
EDGE (3 ,3) PORT 5: Recv/Dropped : 0/2446
EDGE (3 ,3) PORT 6: Recv/Dropped : 0/2441
EDGE (3 ,3) PORT 7: Recv/Dropped : 0/2433
EDGE (4 ,0) PORT 0: Recv/Dropped : 0/3739
EDGE (4 ,0) PORT 1: Recv/Dropped : 0/2016
EDGE (4 ,0) PORT 2: Recv/Dropped : 0/2563
EDGE (4 ,0) PORT 3: Recv/Dropped : 0/2395
EDGE (4 ,0) PORT 4: Recv/Dropped : 0/2519
EDGE (4 ,0) PORT 5: Recv/Dropped : 0/2435
EDGE (4 ,0) PORT 6: Recv/Dropped : 0/2492
EDGE (4 ,0) PORT 7: Recv/Dropped : 0/2459
EDGE (4 ,1) PORT 0: Recv/Dropped : 0/2210
EDGE (4 ,1) PORT 1: Recv/Dropped : 0/2824
EDGE (4 ,1) PORT 2: Recv/Dropped : 0/2150
EDGE (4 ,1) PORT 3: Recv/Dropped : 0/2400
EDGE (4 ,1) PORT 4: Recv/Dropped : 0/2250
EDGE (4 ,1) PORT 5: Recv/Dropped : 0/2281
EDGE (4 ,1) PORT 6: Recv/Dropped : 0/2251
EDGE (4 ,1) PORT 7: Recv/Dropped : 0/2208
EDGE (4 ,2) PORT 0: Recv/Dropped : 0/3221
EDGE (4 ,2) PORT 1: Recv/Dropped : 0/1958
EDGE (4 ,2) PORT 2: Recv/Dropped : 0/2770
EDGE (4 ,2) PORT 3: Recv/Dropped : 0/1668
EDGE (4 ,2) PORT 4: Recv/Dropped : 0/2375
EDGE (4 ,2) PORT 5: Recv/Dropped : 0/2459
EDGE (4 ,2) PORT 6: Recv/Dropped : 0/2306
EDGE (4 ,2) PORT 7: Recv/Dropped : 0/2420
EDGE (4 ,3) PORT 0: Recv/Dropped : 0/2747
EDGE (4 ,3) PORT 1: Recv/Dropped : 0/3061
EDGE (4 ,3) PORT 2: Recv/Dropped : 0/3529
EDGE (4 ,3) PORT 3: Recv/Dropped : 0/3549
EDGE (4 ,3) PORT 4: Recv/Dropped : 0/2873
EDGE (4 ,3) PORT 5: Recv/Dropped : 0/2757
EDGE (4 ,3) PORT 6: Recv/Dropped : 0/2895
EDGE (4 ,3) PORT 7: Recv/Dropped : 0/2808
EDGE (5 ,0) PORT 0: Recv/Dropped : 0/1535
EDGE (5 ,0) PORT 1: Recv/Dropped : 0/3732
EDGE (5 ,0) PORT 2: Recv/Dropped : 0/3015
