QUEUE STATISTICS FOR EXPERIMENT 9284
---------------------------
 -- EDGE QUEUE STATISTICS --
EDGE (0 ,0) PORT 0: Recv/Dropped : 0/5074
EDGE (0 ,0) PORT 1: Recv/Dropped : 0/2413
EDGE (0 ,0) PORT 2: Recv/Dropped : 0/1561
EDGE (0 ,0) PORT 3: Recv/Dropped : 0/2545
EDGE (0 ,0) PORT 4: Recv/Dropped : 0/2634
EDGE (0 ,0) PORT 5: Recv/Dropped : 0/2710
EDGE (0 ,0) PORT 6: Recv/Dropped : 0/2597
EDGE (0 ,0) PORT 7: Recv/Dropped : 0/2576
EDGE (0 ,1) PORT 0: Recv/Dropped : 0/4340
EDGE (0 ,1) PORT 1: Recv/Dropped : 0/5130
EDGE (0 ,1) PORT 2: Recv/Dropped : 0/3960
EDGE (0 ,1) PORT 3: Recv/Dropped : 0/3781
EDGE (0 ,1) PORT 4: Recv/Dropped : 0/3331
EDGE (0 ,1) PORT 5: Recv/Dropped : 0/3277
EDGE (0 ,1) PORT 6: Recv/Dropped : 0/3312
EDGE (0 ,1) PORT 7: Recv/Dropped : 0/3183
EDGE (0 ,2) PORT 0: Recv/Dropped : 0/5220
EDGE (0 ,2) PORT 1: Recv/Dropped : 0/2197
EDGE (0 ,2) PORT 2: Recv/Dropped : 0/3409
EDGE (0 ,2) PORT 3: Recv/Dropped : 0/4421
EDGE (0 ,2) PORT 4: Recv/Dropped : 0/2697
EDGE (0 ,2) PORT 5: Recv/Dropped : 0/2845
EDGE (0 ,2) PORT 6: Recv/Dropped : 0/2766
EDGE (0 ,2) PORT 7: Recv/Dropped : 0/2732
EDGE (0 ,3) PORT 0: Recv/Dropped : 0/2481
EDGE (0 ,3) PORT 1: Recv/Dropped : 0/2304
EDGE (0 ,3) PORT 2: Recv/Dropped : 0/3701
EDGE (0 ,3) PORT 3: Recv/Dropped : 0/3004
EDGE (0 ,3) PORT 4: Recv/Dropped : 0/2676
EDGE (0 ,3) PORT 5: Recv/Dropped : 0/2697
EDGE (0 ,3) PORT 6: Recv/Dropped : 0/2713
EDGE (0 ,3) PORT 7: Recv/Dropped : 0/2677
EDGE (1 ,0) PORT 0: Recv/Dropped : 0/1364
EDGE (1 ,0) PORT 1: Recv/Dropped : 0/3591
EDGE (1 ,0) PORT 2: Recv/Dropped : 0/2421
EDGE (1 ,0) PORT 3: Recv/Dropped : 0/2731
EDGE (1 ,0) PORT 4: Recv/Dropped : 0/2007
EDGE (1 ,0) PORT 5: Recv/Dropped : 0/2015
EDGE (1 ,0) PORT 6: Recv/Dropped : 0/1997
EDGE (1 ,0) PORT 7: Recv/Dropped : 0/2027
EDGE (1 ,1) PORT 0: Recv/Dropped : 0/2563
EDGE (1 ,1) PORT 1: Recv/Dropped : 0/1378
EDGE (1 ,1) PORT 2: Recv/Dropped : 0/2954
EDGE (1 ,1) PORT 3: Recv/Dropped : 0/1994
EDGE (1 ,1) PORT 4: Recv/Dropped : 0/1889
EDGE (1 ,1) PORT 5: Recv/Dropped : 0/2019
EDGE (1 ,1) PORT 6: Recv/Dropped : 0/1826
EDGE (1 ,1) PORT 7: Recv/Dropped : 0/1907
EDGE (1 ,2) PORT 0: Recv/Dropped : 0/2711
EDGE (1 ,2) PORT 1: Recv/Dropped : 0/3617
EDGE (1 ,2) PORT 2: Recv/Dropped : 0/2661
EDGE (1 ,2) PORT 3: Recv/Dropped : 0/1874
EDGE (1 ,2) PORT 4: Recv/Dropped : 0/2482
EDGE (1 ,2) PORT 5: Recv/Dropped : 0/2432
EDGE (1 ,2) PORT 6: Recv/Dropped : 0/2489
EDGE (1 ,2) PORT 7: Recv/Dropped : 0/2530
EDGE (1 ,3) PORT 0: Recv/Dropped : 0/2928
EDGE (1 ,3) PORT 1: Recv/Dropped : 0/2426
EDGE (1 ,3) PORT 2: Recv/Dropped : 0/2575
EDGE (1 ,3) PORT 3: Recv/Dropped : 0/3954
EDGE (1 ,3) PORT 4: Recv/Dropped : 0/2456
EDGE (1 ,3) PORT 5: Recv/Dropped : 0/2439
EDGE (1 ,3) PORT 6: Recv/Dropped : 0/2399
EDGE (1 ,3) PORT 7: Recv/Dropped : 0/2501
EDGE (2 ,0) PORT 0: Recv/Dropped : 0/2096
EDGE (2 ,0) PORT 1: Recv/Dropped : 0/2740
EDGE (2 ,0) PORT 2: Recv/Dropped : 0/2298
