QUEUE STATISTICS FOR EXPERIMENT 9322
---------------------------
 -- EDGE QUEUE STATISTICS --
EDGE (0 ,0) PORT 0: Recv/Dropped : 0/5081
EDGE (0 ,0) PORT 1: Recv/Dropped : 0/2417
EDGE (0 ,0) PORT 2: Recv/Dropped : 0/1568
EDGE (0 ,0) PORT 3: Recv/Dropped : 0/2546
EDGE (0 ,0) PORT 4: Recv/Dropped : 0/2637
EDGE (0 ,0) PORT 5: Recv/Dropped : 0/2710
EDGE (0 ,0) PORT 6: Recv/Dropped : 0/2603
EDGE (0 ,0) PORT 7: Recv/Dropped : 0/2579
EDGE (0 ,1) PORT 0: Recv/Dropped : 0/4342
EDGE (0 ,1) PORT 1: Recv/Dropped : 0/5106
EDGE (0 ,1) PORT 2: Recv/Dropped : 0/3956
EDGE (0 ,1) PORT 3: Recv/Dropped : 0/3780
EDGE (0 ,1) PORT 4: Recv/Dropped : 0/3318
EDGE (0 ,1) PORT 5: Recv/Dropped : 0/3274
EDGE (0 ,1) PORT 6: Recv/Dropped : 0/3305
EDGE (0 ,1) PORT 7: Recv/Dropped : 0/3176
EDGE (0 ,2) PORT 0: Recv/Dropped : 0/5244
EDGE (0 ,2) PORT 1: Recv/Dropped : 0/2190
EDGE (0 ,2) PORT 2: Recv/Dropped : 0/3410
EDGE (0 ,2) PORT 3: Recv/Dropped : 0/4453
EDGE (0 ,2) PORT 4: Recv/Dropped : 0/2707
EDGE (0 ,2) PORT 5: Recv/Dropped : 0/2860
EDGE (0 ,2) PORT 6: Recv/Dropped : 0/2779
EDGE (0 ,2) PORT 7: Recv/Dropped : 0/2747
EDGE (0 ,3) PORT 0: Recv/Dropped : 0/2494
EDGE (0 ,3) PORT 1: Recv/Dropped : 0/2309
EDGE (0 ,3) PORT 2: Recv/Dropped : 0/3690
EDGE (0 ,3) PORT 3: Recv/Dropped : 0/3011
EDGE (0 ,3) PORT 4: Recv/Dropped : 0/2680
EDGE (0 ,3) PORT 5: Recv/Dropped : 0/2698
EDGE (0 ,3) PORT 6: Recv/Dropped : 0/2717
EDGE (0 ,3) PORT 7: Recv/Dropped : 0/2679
EDGE (1 ,0) PORT 0: Recv/Dropped : 0/1368
EDGE (1 ,0) PORT 1: Recv/Dropped : 0/3593
EDGE (1 ,0) PORT 2: Recv/Dropped : 0/2420
EDGE (1 ,0) PORT 3: Recv/Dropped : 0/2742
EDGE (1 ,0) PORT 4: Recv/Dropped : 0/2021
EDGE (1 ,0) PORT 5: Recv/Dropped : 0/2031
EDGE (1 ,0) PORT 6: Recv/Dropped : 0/2015
EDGE (1 ,0) PORT 7: Recv/Dropped : 0/2052
EDGE (1 ,1) PORT 0: Recv/Dropped : 0/2587
EDGE (1 ,1) PORT 1: Recv/Dropped : 0/1372
EDGE (1 ,1) PORT 2: Recv/Dropped : 0/2939
EDGE (1 ,1) PORT 3: Recv/Dropped : 0/1998
EDGE (1 ,1) PORT 4: Recv/Dropped : 0/1892
EDGE (1 ,1) PORT 5: Recv/Dropped : 0/2022
EDGE (1 ,1) PORT 6: Recv/Dropped : 0/1827
EDGE (1 ,1) PORT 7: Recv/Dropped : 0/1909
EDGE (1 ,2) PORT 0: Recv/Dropped : 0/2683
EDGE (1 ,2) PORT 1: Recv/Dropped : 0/3576
EDGE (1 ,2) PORT 2: Recv/Dropped : 0/2640
EDGE (1 ,2) PORT 3: Recv/Dropped : 0/1874
EDGE (1 ,2) PORT 4: Recv/Dropped : 0/2471
EDGE (1 ,2) PORT 5: Recv/Dropped : 0/2422
EDGE (1 ,2) PORT 6: Recv/Dropped : 0/2476
EDGE (1 ,2) PORT 7: Recv/Dropped : 0/2519
EDGE (1 ,3) PORT 0: Recv/Dropped : 0/2923
EDGE (1 ,3) PORT 1: Recv/Dropped : 0/2382
EDGE (1 ,3) PORT 2: Recv/Dropped : 0/2592
EDGE (1 ,3) PORT 3: Recv/Dropped : 0/3922
EDGE (1 ,3) PORT 4: Recv/Dropped : 0/2447
