QUEUE STATISTICS FOR EXPERIMENT 9302
---------------------------
 -- EDGE QUEUE STATISTICS --
EDGE (0 ,0) PORT 0: Recv/Dropped : 0/5070
EDGE (0 ,0) PORT 1: Recv/Dropped : 0/2392
EDGE (0 ,0) PORT 2: Recv/Dropped : 0/1551
EDGE (0 ,0) PORT 3: Recv/Dropped : 0/2546
EDGE (0 ,0) PORT 4: Recv/Dropped : 0/2621
EDGE (0 ,0) PORT 5: Recv/Dropped : 0/2699
EDGE (0 ,0) PORT 6: Recv/Dropped : 0/2585
EDGE (0 ,0) PORT 7: Recv/Dropped : 0/2565
EDGE (0 ,1) PORT 0: Recv/Dropped : 0/4310
EDGE (0 ,1) PORT 1: Recv/Dropped : 0/5083
EDGE (0 ,1) PORT 2: Recv/Dropped : 0/3930
EDGE (0 ,1) PORT 3: Recv/Dropped : 0/3745
EDGE (0 ,1) PORT 4: Recv/Dropped : 0/3309
EDGE (0 ,1) PORT 5: Recv/Dropped : 0/3267
EDGE (0 ,1) PORT 6: Recv/Dropped : 0/3295
EDGE (0 ,1) PORT 7: Recv/Dropped : 0/3162
EDGE (0 ,2) PORT 0: Recv/Dropped : 0/5205
EDGE (0 ,2) PORT 1: Recv/Dropped : 0/2199
EDGE (0 ,2) PORT 2: Recv/Dropped : 0/3389
EDGE (0 ,2) PORT 3: Recv/Dropped : 0/4431
EDGE (0 ,2) PORT 4: Recv/Dropped : 0/2680
EDGE (0 ,2) PORT 5: Recv/Dropped : 0/2826
EDGE (0 ,2) PORT 6: Recv/Dropped : 0/2742
EDGE (0 ,2) PORT 7: Recv/Dropped : 0/2713
EDGE (0 ,3) PORT 0: Recv/Dropped : 0/2466
EDGE (0 ,3) PORT 1: Recv/Dropped : 0/2313
EDGE (0 ,3) PORT 2: Recv/Dropped : 0/3665
EDGE (0 ,3) PORT 3: Recv/Dropped : 0/2964
EDGE (0 ,3) PORT 4: Recv/Dropped : 0/2669
EDGE (0 ,3) PORT 5: Recv/Dropped : 0/2689
EDGE (0 ,3) PORT 6: Recv/Dropped : 0/2707
EDGE (0 ,3) PORT 7: Recv/Dropped : 0/2672
EDGE (1 ,0) PORT 0: Recv/Dropped : 0/1357
EDGE (1 ,0) PORT 1: Recv/Dropped : 0/3618
EDGE (1 ,0) PORT 2: Recv/Dropped : 0/2396
EDGE (1 ,0) PORT 3: Recv/Dropped : 0/2667
EDGE (1 ,0) PORT 4: Recv/Dropped : 0/1982
EDGE (1 ,0) PORT 5: Recv/Dropped : 0/1987
EDGE (1 ,0) PORT 6: Recv/Dropped : 0/1978
EDGE (1 ,0) PORT 7: Recv/Dropped : 0/2001
EDGE (1 ,1) PORT 0: Recv/Dropped : 0/2517
