QUEUE STATISTICS FOR EXPERIMENT 9286
---------------------------
 -- EDGE QUEUE STATISTICS --
EDGE (0 ,0) PORT 0: Recv/Dropped : 0/5045
EDGE (0 ,0) PORT 1: Recv/Dropped : 0/2403
EDGE (0 ,0) PORT 2: Recv/Dropped : 0/1559
EDGE (0 ,0) PORT 3: Recv/Dropped : 0/2535
EDGE (0 ,0) PORT 4: Recv/Dropped : 0/2617
EDGE (0 ,0) PORT 5: Recv/Dropped : 0/2695
EDGE (0 ,0) PORT 6: Recv/Dropped : 0/2584
EDGE (0 ,0) PORT 7: Recv/Dropped : 0/2561
EDGE (0 ,1) PORT 0: Recv/Dropped : 0/4316
EDGE (0 ,1) PORT 1: Recv/Dropped : 0/5095
EDGE (0 ,1) PORT 2: Recv/Dropped : 0/3938
EDGE (0 ,1) PORT 3: Recv/Dropped : 0/3756
EDGE (0 ,1) PORT 4: Recv/Dropped : 0/3306
EDGE (0 ,1) PORT 5: Recv/Dropped : 0/3263
EDGE (0 ,1) PORT 6: Recv/Dropped : 0/3291
EDGE (0 ,1) PORT 7: Recv/Dropped : 0/3158
EDGE (0 ,2) PORT 0: Recv/Dropped : 0/5206
EDGE (0 ,2) PORT 1: Recv/Dropped : 0/2182
EDGE (0 ,2) PORT 2: Recv/Dropped : 0/3389
EDGE (0 ,2) PORT 3: Recv/Dropped : 0/4397
EDGE (0 ,2) PORT 4: Recv/Dropped : 0/2684
EDGE (0 ,2) PORT 5: Recv/Dropped : 0/2832
EDGE (0 ,2) PORT 6: Recv/Dropped : 0/2747
EDGE (0 ,2) PORT 7: Recv/Dropped : 0/2719
EDGE (0 ,3) PORT 0: Recv/Dropped : 0/2475
EDGE (0 ,3) PORT 1: Recv/Dropped : 0/2301
EDGE (0 ,3) PORT 2: Recv/Dropped : 0/3664
EDGE (0 ,3) PORT 3: Recv/Dropped : 0/2982
EDGE (0 ,3) PORT 4: Recv/Dropped : 0/2668
EDGE (0 ,3) PORT 5: Recv/Dropped : 0/2686
EDGE (0 ,3) PORT 6: Recv/Dropped : 0/2703
EDGE (0 ,3) PORT 7: Recv/Dropped : 0/2667
EDGE (1 ,0) PORT 0: Recv/Dropped : 0/1366
EDGE (1 ,0) PORT 1: Recv/Dropped : 0/3560
EDGE (1 ,0) PORT 2: Recv/Dropped : 0/2404
EDGE (1 ,0) PORT 3: Recv/Dropped : 0/2698
EDGE (1 ,0) PORT 4: Recv/Dropped : 0/1996
EDGE (1 ,0) PORT 5: Recv/Dropped : 0/2001
EDGE (1 ,0) PORT 6: Recv/Dropped : 0/1988
EDGE (1 ,0) PORT 7: Recv/Dropped : 0/2012
EDGE (1 ,1) PORT 0: Recv/Dropped : 0/2576
EDGE (1 ,1) PORT 1: Recv/Dropped : 0/1368
EDGE (1 ,1) PORT 2: Recv/Dropped : 0/2916
EDGE (1 ,1) PORT 3: Recv/Dropped : 0/1984
EDGE (1 ,1) PORT 4: Recv/Dropped : 0/1879
EDGE (1 ,1) PORT 5: Recv/Dropped : 0/2008
EDGE (1 ,1) PORT 6: Recv/Dropped : 0/1810
EDGE (1 ,1) PORT 7: Recv/Dropped : 0/1894
EDGE (1 ,2) PORT 0: Recv/Dropped : 0/2700
EDGE (1 ,2) PORT 1: Recv/Dropped : 0/3534
EDGE (1 ,2) PORT 2: Recv/Dropped : 0/2625
EDGE (1 ,2) PORT 3: Recv/Dropped : 0/1864
EDGE (1 ,2) PORT 4: Recv/Dropped : 0/2466
EDGE (1 ,2) PORT 5: Recv/Dropped : 0/2416
EDGE (1 ,2) PORT 6: Recv/Dropped : 0/2472
EDGE (1 ,2) PORT 7: Recv/Dropped : 0/2511
EDGE (1 ,3) PORT 0: Recv/Dropped : 0/2907
EDGE (1 ,3) PORT 1: Recv/Dropped : 0/2400
EDGE (1 ,3) PORT 2: Recv/Dropped : 0/2568
EDGE (1 ,3) PORT 3: Recv/Dropped : 0/3912
EDGE (1 ,3) PORT 4: Recv/Dropped : 0/2435
EDGE (1 ,3) PORT 5: Recv/Dropped : 0/2419
EDGE (1 ,3) PORT 6: Recv/Dropped : 0/2373
EDGE (1 ,3) PORT 7: Recv/Dropped : 0/2467
EDGE (2 ,0) PORT 0: Recv/Dropped : 0/2089
EDGE (2 ,0) PORT 1: Recv/Dropped : 0/2713
EDGE (2 ,0) PORT 2: Recv/Dropped : 0/2286
EDGE (2 ,0) PORT 3: Recv/Dropped : 0/2106
EDGE (2 ,0) PORT 4: Recv/Dropped : 0/1767
EDGE (2 ,0) PORT 5: Recv/Dropped : 0/1731
EDGE (2 ,0) PORT 6: Recv/Dropped : 0/1837
EDGE (2 ,0) PORT 7: Recv/Dropped : 0/1781
EDGE (2 ,1) PORT 0: Recv/Dropped : 0/2029
EDGE (2 ,1) PORT 1: Recv/Dropped : 0/2498
EDGE (2 ,1) PORT 2: Recv/Dropped : 0/1627
EDGE (2 ,1) PORT 3: Recv/Dropped : 0/3410
EDGE (2 ,1) PORT 4: Recv/Dropped : 0/2302
EDGE (2 ,1) PORT 5: Recv/Dropped : 0/2254
EDGE (2 ,1) PORT 6: Recv/Dropped : 0/2276
EDGE (2 ,1) PORT 7: Recv/Dropped : 0/2239
EDGE (2 ,2) PORT 0: Recv/Dropped : 0/2850
EDGE (2 ,2) PORT 1: Recv/Dropped : 0/3566
EDGE (2 ,2) PORT 2: Recv/Dropped : 0/2154
EDGE (2 ,2) PORT 3: Recv/Dropped : 0/2342
EDGE (2 ,2) PORT 4: Recv/Dropped : 0/2130
EDGE (2 ,2) PORT 5: Recv/Dropped : 0/2238
EDGE (2 ,2) PORT 6: Recv/Dropped : 0/2124
EDGE (2 ,2) PORT 7: Recv/Dropped : 0/2150
EDGE (2 ,3) PORT 0: Recv/Dropped : 0/2287
EDGE (2 ,3) PORT 1: Recv/Dropped : 0/4927
EDGE (2 ,3) PORT 2: Recv/Dropped : 0/2788
EDGE (2 ,3) PORT 3: Recv/Dropped : 0/2819
EDGE (2 ,3) PORT 4: Recv/Dropped : 0/2210
EDGE (2 ,3) PORT 5: Recv/Dropped : 0/2190
EDGE (2 ,3) PORT 6: Recv/Dropped : 0/2196
EDGE (2 ,3) PORT 7: Recv/Dropped : 0/2144
EDGE (3 ,0) PORT 0: Recv/Dropped : 0/2279
EDGE (3 ,0) PORT 1: Recv/Dropped : 0/2720
EDGE (3 ,0) PORT 2: Recv/Dropped : 0/1779
EDGE (3 ,0) PORT 3: Recv/Dropped : 0/3743
EDGE (3 ,0) PORT 4: Recv/Dropped : 0/2242
EDGE (3 ,0) PORT 5: Recv/Dropped : 0/2211
EDGE (3 ,0) PORT 6: Recv/Dropped : 0/2291
EDGE (3 ,0) PORT 7: Recv/Dropped : 0/2165
EDGE (3 ,1) PORT 0: Recv/Dropped : 0/1849
EDGE (3 ,1) PORT 1: Recv/Dropped : 0/3061
EDGE (3 ,1) PORT 2: Recv/Dropped : 0/2071
EDGE (3 ,1) PORT 3: Recv/Dropped : 0/2486
EDGE (3 ,1) PORT 4: Recv/Dropped : 0/1559
EDGE (3 ,1) PORT 5: Recv/Dropped : 0/1513
EDGE (3 ,1) PORT 6: Recv/Dropped : 0/1593
EDGE (3 ,1) PORT 7: Recv/Dropped : 0/1591
EDGE (3 ,2) PORT 0: Recv/Dropped : 0/3795
EDGE (3 ,2) PORT 1: Recv/Dropped : 0/1945
EDGE (3 ,2) PORT 2: Recv/Dropped : 0/4403
EDGE (3 ,2) PORT 3: Recv/Dropped : 0/2338
EDGE (3 ,2) PORT 4: Recv/Dropped : 0/2465
EDGE (3 ,2) PORT 5: Recv/Dropped : 0/2452
