QUEUE STATISTICS FOR EXPERIMENT 9280
---------------------------
 -- EDGE QUEUE STATISTICS --
EDGE (0 ,0) PORT 0: Recv/Dropped : 0/5104
EDGE (0 ,0) PORT 1: Recv/Dropped : 0/2415
EDGE (0 ,0) PORT 2: Recv/Dropped : 0/1568
EDGE (0 ,0) PORT 3: Recv/Dropped : 0/2556
EDGE (0 ,0) PORT 4: Recv/Dropped : 0/2636
EDGE (0 ,0) PORT 5: Recv/Dropped : 0/2710
EDGE (0 ,0) PORT 6: Recv/Dropped : 0/2601
EDGE (0 ,0) PORT 7: Recv/Dropped : 0/2578
EDGE (0 ,1) PORT 0: Recv/Dropped : 0/4350
EDGE (0 ,1) PORT 1: Recv/Dropped : 0/5129
EDGE (0 ,1) PORT 2: Recv/Dropped : 0/3953
EDGE (0 ,1) PORT 3: Recv/Dropped : 0/3775
EDGE (0 ,1) PORT 4: Recv/Dropped : 0/3337
EDGE (0 ,1) PORT 5: Recv/Dropped : 0/3287
EDGE (0 ,1) PORT 6: Recv/Dropped : 0/3321
EDGE (0 ,1) PORT 7: Recv/Dropped : 0/3197
EDGE (0 ,2) PORT 0: Recv/Dropped : 0/5246
EDGE (0 ,2) PORT 1: Recv/Dropped : 0/2199
EDGE (0 ,2) PORT 2: Recv/Dropped : 0/3419
EDGE (0 ,2) PORT 3: Recv/Dropped : 0/4464
EDGE (0 ,2) PORT 4: Recv/Dropped : 0/2712
EDGE (0 ,2) PORT 5: Recv/Dropped : 0/2872
EDGE (0 ,2) PORT 6: Recv/Dropped : 0/2784
EDGE (0 ,2) PORT 7: Recv/Dropped : 0/2755
EDGE (0 ,3) PORT 0: Recv/Dropped : 0/2477
EDGE (0 ,3) PORT 1: Recv/Dropped : 0/2304
EDGE (0 ,3) PORT 2: Recv/Dropped : 0/3701
EDGE (0 ,3) PORT 3: Recv/Dropped : 0/2983
EDGE (0 ,3) PORT 4: Recv/Dropped : 0/2692
EDGE (0 ,3) PORT 5: Recv/Dropped : 0/2711
EDGE (0 ,3) PORT 6: Recv/Dropped : 0/2737
EDGE (0 ,3) PORT 7: Recv/Dropped : 0/2691
EDGE (1 ,0) PORT 0: Recv/Dropped : 0/1367
EDGE (1 ,0) PORT 1: Recv/Dropped : 0/3641
EDGE (1 ,0) PORT 2: Recv/Dropped : 0/2423
EDGE (1 ,0) PORT 3: Recv/Dropped : 0/2734
EDGE (1 ,0) PORT 4: Recv/Dropped : 0/2018
EDGE (1 ,0) PORT 5: Recv/Dropped : 0/2025
EDGE (1 ,0) PORT 6: Recv/Dropped : 0/2015
EDGE (1 ,0) PORT 7: Recv/Dropped : 0/2051
