QUEUE STATISTICS FOR EXPERIMENT 9292
---------------------------
 -- EDGE QUEUE STATISTICS --
EDGE (0 ,0) PORT 0: Recv/Dropped : 0/4999
EDGE (0 ,0) PORT 1: Recv/Dropped : 0/2369
EDGE (0 ,0) PORT 2: Recv/Dropped : 0/1526
EDGE (0 ,0) PORT 3: Recv/Dropped : 0/2501
EDGE (0 ,0) PORT 4: Recv/Dropped : 0/2595
EDGE (0 ,0) PORT 5: Recv/Dropped : 0/2666
EDGE (0 ,0) PORT 6: Recv/Dropped : 0/2558
EDGE (0 ,0) PORT 7: Recv/Dropped : 0/2526
EDGE (0 ,1) PORT 0: Recv/Dropped : 0/4275
EDGE (0 ,1) PORT 1: Recv/Dropped : 0/5028
EDGE (0 ,1) PORT 2: Recv/Dropped : 0/3900
EDGE (0 ,1) PORT 3: Recv/Dropped : 0/3707
EDGE (0 ,1) PORT 4: Recv/Dropped : 0/3262
EDGE (0 ,1) PORT 5: Recv/Dropped : 0/3225
EDGE (0 ,1) PORT 6: Recv/Dropped : 0/3241
EDGE (0 ,1) PORT 7: Recv/Dropped : 0/3111
EDGE (0 ,2) PORT 0: Recv/Dropped : 0/5165
EDGE (0 ,2) PORT 1: Recv/Dropped : 0/2156
EDGE (0 ,2) PORT 2: Recv/Dropped : 0/3357
EDGE (0 ,2) PORT 3: Recv/Dropped : 0/4379
EDGE (0 ,2) PORT 4: Recv/Dropped : 0/2649
EDGE (0 ,2) PORT 5: Recv/Dropped : 0/2806
EDGE (0 ,2) PORT 6: Recv/Dropped : 0/2710
EDGE (0 ,2) PORT 7: Recv/Dropped : 0/2694
EDGE (0 ,3) PORT 0: Recv/Dropped : 0/2443
EDGE (0 ,3) PORT 1: Recv/Dropped : 0/2288
EDGE (0 ,3) PORT 2: Recv/Dropped : 0/3614
EDGE (0 ,3) PORT 3: Recv/Dropped : 0/2947
EDGE (0 ,3) PORT 4: Recv/Dropped : 0/2635
EDGE (0 ,3) PORT 5: Recv/Dropped : 0/2663
EDGE (0 ,3) PORT 6: Recv/Dropped : 0/2676
EDGE (0 ,3) PORT 7: Recv/Dropped : 0/2641
EDGE (1 ,0) PORT 0: Recv/Dropped : 0/1344
EDGE (1 ,0) PORT 1: Recv/Dropped : 0/3540
EDGE (1 ,0) PORT 2: Recv/Dropped : 0/2379
EDGE (1 ,0) PORT 3: Recv/Dropped : 0/2690
EDGE (1 ,0) PORT 4: Recv/Dropped : 0/1977
EDGE (1 ,0) PORT 5: Recv/Dropped : 0/1983
EDGE (1 ,0) PORT 6: Recv/Dropped : 0/1973
EDGE (1 ,0) PORT 7: Recv/Dropped : 0/1996
EDGE (1 ,1) PORT 0: Recv/Dropped : 0/2505
