QUEUE STATISTICS FOR EXPERIMENT 655
---------------------------
 -- EDGE QUEUE STATISTICS --
EDGE (0 ,0) PORT 0: Recv/Dropped : 0/1437
EDGE (0 ,0) PORT 1: Recv/Dropped : 0/740
EDGE (0 ,0) PORT 2: Recv/Dropped : 0/1351
EDGE (0 ,0) PORT 3: Recv/Dropped : 0/1660
EDGE (0 ,0) PORT 4: Recv/Dropped : 0/1472
EDGE (0 ,0) PORT 5: Recv/Dropped : 0/920
EDGE (0 ,0) PORT 6: Recv/Dropped : 0/842
EDGE (0 ,0) PORT 7: Recv/Dropped : 0/1364
EDGE (0 ,1) PORT 0: Recv/Dropped : 0/1114
EDGE (0 ,1) PORT 1: Recv/Dropped : 0/877
EDGE (0 ,1) PORT 2: Recv/Dropped : 0/1411
EDGE (0 ,1) PORT 3: Recv/Dropped : 0/1606
EDGE (0 ,1) PORT 4: Recv/Dropped : 0/862
EDGE (0 ,1) PORT 5: Recv/Dropped : 0/569
EDGE (0 ,1) PORT 6: Recv/Dropped : 0/687
EDGE (0 ,1) PORT 7: Recv/Dropped : 0/1098
EDGE (0 ,2) PORT 0: Recv/Dropped : 0/598
EDGE (0 ,2) PORT 1: Recv/Dropped : 0/570
EDGE (0 ,2) PORT 2: Recv/Dropped : 0/2754
EDGE (0 ,2) PORT 3: Recv/Dropped : 0/978
EDGE (0 ,2) PORT 4: Recv/Dropped : 0/1444
EDGE (0 ,2) PORT 5: Recv/Dropped : 0/933
EDGE (0 ,2) PORT 6: Recv/Dropped : 0/808
EDGE (0 ,2) PORT 7: Recv/Dropped : 0/940
EDGE (0 ,3) PORT 0: Recv/Dropped : 0/2988
EDGE (0 ,3) PORT 1: Recv/Dropped : 0/1684
EDGE (0 ,3) PORT 2: Recv/Dropped : 0/2578
EDGE (0 ,3) PORT 3: Recv/Dropped : 0/1770
EDGE (0 ,3) PORT 4: Recv/Dropped : 0/1562
EDGE (0 ,3) PORT 5: Recv/Dropped : 0/2649
EDGE (0 ,3) PORT 6: Recv/Dropped : 0/1396
EDGE (0 ,3) PORT 7: Recv/Dropped : 0/1050
EDGE (1 ,0) PORT 0: Recv/Dropped : 0/1059
EDGE (1 ,0) PORT 1: Recv/Dropped : 0/860
